               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096854,             0.02154,            0.076156,           0.0032509,             0.82849,            0.049209,            0.017114,            0.071115,            0.013927,            0.065212,            0.070638,           0.0032624,           0.0032624
                   1,            0.065284,            0.023994,            0.067528,             0.30645,            0.085294,            0.073347,            0.036505,            0.062427,            0.010241,            0.050206,            0.040595,           0.0065522,           0.0065522
                   2,            0.057929,            0.019786,            0.061562,             0.82032,             0.10281,             0.15571,            0.067562,            0.068007,           0.0089458,            0.043503,            0.010507,            0.009798,            0.009798
                   3,            0.057956,            0.018217,             0.06031,             0.44534,             0.20142,             0.12205,            0.043192,            0.064052,           0.0088222,            0.043015,            0.009802,            0.009802,            0.009802
                   4,            0.050475,            0.018017,            0.058717,             0.41346,             0.31943,               0.247,             0.11662,            0.054454,           0.0081565,            0.041182,            0.009802,            0.009802,            0.009802
                   5,            0.048063,            0.016897,            0.057656,             0.46962,             0.30036,             0.28708,             0.11972,            0.050538,           0.0076031,            0.036097,            0.009736,            0.009736,            0.009736
                   6,            0.043884,            0.016722,            0.055147,             0.35696,             0.27178,             0.30437,            0.095636,            0.057624,           0.0073938,             0.03469,             0.00967,             0.00967,             0.00967
                   7,            0.043977,            0.016266,            0.051713,             0.44015,              0.3632,               0.339,             0.13783,            0.047031,           0.0075764,            0.031653,            0.009604,            0.009604,            0.009604
                   8,            0.043801,            0.016276,            0.051006,             0.48421,             0.45687,             0.39299,             0.18389,            0.050387,           0.0071641,            0.033448,            0.009538,            0.009538,            0.009538
                   9,            0.041226,             0.01547,            0.048881,             0.52421,              0.4145,             0.46088,             0.20262,            0.044422,           0.0075702,            0.028513,            0.009472,            0.009472,            0.009472
                  10,            0.042453,            0.016069,            0.046391,             0.48672,             0.50259,             0.46697,              0.2063,            0.045288,           0.0074898,            0.027646,            0.009406,            0.009406,            0.009406
                  11,            0.041103,            0.015583,            0.046352,             0.44394,             0.59806,             0.58505,             0.23948,            0.044645,           0.0069522,            0.026906,             0.00934,             0.00934,             0.00934
                  12,            0.039737,            0.015315,              0.0439,             0.43975,             0.72457,             0.61561,             0.30399,            0.044369,           0.0068557,            0.024595,            0.009274,            0.009274,            0.009274
                  13,             0.04126,            0.015294,             0.04311,             0.48378,             0.58513,             0.55359,             0.18753,            0.051961,           0.0071081,            0.025551,            0.009208,            0.009208,            0.009208
                  14,            0.040121,            0.015596,            0.042324,             0.42579,             0.58697,             0.56433,             0.27362,            0.045545,           0.0076275,            0.025789,            0.009142,            0.009142,            0.009142
                  15,            0.040653,             0.01526,            0.043414,             0.46494,             0.51859,             0.56217,             0.22853,             0.04933,           0.0076435,            0.024269,            0.009076,            0.009076,            0.009076
                  16,            0.039916,            0.015561,            0.038364,             0.47661,             0.63359,             0.58168,             0.23392,            0.043797,           0.0072775,            0.024375,             0.00901,             0.00901,             0.00901
                  17,            0.038974,            0.015359,            0.037452,              0.4828,             0.62211,              0.6476,             0.32396,            0.041507,           0.0070472,            0.023767,            0.008944,            0.008944,            0.008944
                  18,            0.039222,            0.014983,            0.036306,             0.26669,             0.44173,             0.46006,              0.1987,            0.054102,           0.0079868,             0.02688,            0.008878,            0.008878,            0.008878
                  19,            0.039212,            0.014765,            0.035681,             0.44989,             0.49885,             0.55714,             0.24614,            0.044435,           0.0079322,            0.026792,            0.008812,            0.008812,            0.008812
                  20,            0.040251,            0.014524,            0.035881,              0.6307,             0.62007,             0.68366,             0.34588,            0.040945,           0.0066679,            0.019296,            0.008746,            0.008746,            0.008746
                  21,            0.037738,            0.014247,            0.035094,             0.56866,             0.69255,             0.68959,              0.3324,            0.046185,           0.0072983,            0.019699,             0.00868,             0.00868,             0.00868
